page,global_index,column,glyph_index,name,unicode_key,x,y,w,h,reason
0,2,32,3,𓆓𓐳𓂧,U+13193 U+13433 U+130A7,4693.0,835.0,192.0,197.0,no corpus count
0,36,34,9,𓊪𓐰𓈖,U+132AA U+13430 U+13216,4175.0,619.0,155.0,174.0,no corpus count
0,48,34,10,𓆑𓐰𓂋,U+13191 U+13430 U+1308B,4172.0,1621.0,115.0,190.0,no corpus count
0,68,35,1,𓁷𓐰𓂋,U+13077 U+13430 U+1308B,3993.0,1539.0,100.0,222.0,no corpus count
0,71,35,18,𓆓𓐳𓂧,U+13193 U+13433 U+130A7,3937.0,1932.0,154.0,150.0,no corpus count
0,79,35,2,𓊪𓐰𓈖,U+132AA U+13430 U+13216,3891.0,2660.0,141.0,286.0,no corpus count
0,89,36,2,𓆓𓐳𓂧,U+13193 U+13433 U+130A7,3594.0,1688.0,177.0,168.0,no corpus count
0,96,36,19,𓊪𓐰𓈖,U+132AA U+13430 U+13216,3638.0,2446.0,144.0,195.0,no corpus count
0,98,36,1,𓆑𓐰𓂋,U+13191 U+13430 U+1308B,3592.0,2666.0,92.0,185.0,no corpus count
0,107,37,18,𓅐𓐰𓏏,U+13150 U+13430 U+133CF,3331.0,1582.0,177.0,333.0,no corpus count
0,123,38,6,𓌨𓐰𓂋,U+13328 U+13430 U+1308B,3051.0,1129.0,192.0,339.0,no corpus count
0,151,39,24,𓂜𓐰𓈖,U+1309C U+13430 U+13216,2821.0,1792.0,151.0,191.0,no corpus count
0,193,41,11,𓈖𓐰𓏏,U+13216 U+13430 U+133CF,2300.0,1459.0,147.0,172.0,no corpus count
0,197,41,3,𓆓𓐳𓂧,U+13193 U+13433 U+130A7,2287.0,1773.0,142.0,206.0,no corpus count
0,251,44,16,𓆓𓐳𓂧,U+13193 U+13433 U+130A7,1545.0,636.0,166.0,158.0,no corpus count
0,258,44,0,𓊪𓐰𓈖,U+132AA U+13430 U+13216,1584.0,1297.0,151.0,170.0,no corpus count
