page,global_index,column,glyph_index,name,unicode_key,x,y,w,h,reason
0,22,2,8,𓂝𓐰𓎡,U+1309D U+13430 U+133A1,1977.0,740.0,183.0,166.0,no corpus count
0,25,2,3,𓈖𓐰𓈖,U+13216 U+13430 U+13216,1990.0,997.0,119.0,91.0,no corpus count
0,43,4,11,𓏠𓐰𓈖,U+133E0 U+13430 U+13216,1565.0,410.0,116.0,122.0,no corpus count
0,53,4,3,𓂝𓐰𓏏,U+1309D U+13430 U+133CF,1606.0,989.0,110.0,120.0,no corpus count
0,79,6,15,𓊪𓐰𓏏,U+132AA U+13430 U+133CF,1179.0,599.0,88.0,120.0,no corpus count
0,91,7,14,𓅱𓐰𓏏,U+13171 U+13430 U+133CF,931.0,178.0,85.0,132.0,no corpus count
0,102,7,8,𓂧𓐰𓏏,U+130A7 U+13430 U+133CF,984.0,794.0,124.0,105.0,no corpus count
0,104,7,0,𓂜𓐰𓈖,U+1309C U+13430 U+13216,993.0,981.0,133.0,154.0,no corpus count
0,136,10,13,𓅐𓐰𓏏,U+13150 U+13430 U+133CF,398.0,269.0,124.0,172.0,no corpus count
0,139,10,11,𓂝𓐰𓎡,U+1309D U+13430 U+133A1,412.0,660.0,202.0,164.0,no corpus count
0,150,11,11,𓊵𓐰𓏏,U+132B5 U+13430 U+133CF,264.0,309.0,100.0,104.0,no corpus count
0,166,12,14,𓂋𓐰𓎡,U+1308B U+13430 U+133A1,81.0,387.0,191.0,133.0,no corpus count
1,31,15,10,𓂧𓐰𓏏,U+130A7 U+13430 U+133CF,1819.0,407.0,131.0,94.0,no corpus count
1,48,16,3,𓂝𓐰𓎡,U+1309D U+13430 U+133A1,1656.0,947.0,232.0,197.0,no corpus count
1,55,17,17,𓈖𓐰𓈖,U+13216 U+13430 U+13216,1420.0,492.0,107.0,77.0,no corpus count
1,94,20,13,𓂋𓐰𓎡,U+1308B U+13430 U+133A1,805.0,313.0,205.0,182.0,no corpus count
1,97,20,12,𓂋𓐰𓏏,U+1308B U+13430 U+133CF,806.0,633.0,122.0,106.0,no corpus count
1,112,21,6,𓈖𓐰𓎡,U+13216 U+13430 U+133A1,616.0,687.0,221.0,194.0,no corpus count
1,119,22,0,𓈖𓐰𓎡,U+13216 U+13430 U+133A1,426.0,245.0,195.0,143.0,no corpus count
1,128,22,7,𓆣𓐰𓂋,U+131A3 U+13430 U+1308B,453.0,764.0,114.0,173.0,no corpus count
2,14,25,3,𓇆,U+131C6,2165.0,527.0,122.0,137.0,no corpus count
2,15,25,11,𓅨𓐰𓂋,U+13168 U+13430 U+1308B,2145.0,674.0,149.0,170.0,no corpus count
2,22,26,9,𓈖𓐰𓏏,U+13216 U+13430 U+133CF,1970.0,150.0,119.0,93.0,no corpus count
2,33,26,11,𓎉,U+13389,2025.0,872.0,140.0,67.0,no corpus count
2,55,28,3,𓅓𓐰𓏏,U+13153 U+13430 U+133CF,1718.0,571.0,119.0,187.0,no corpus count
2,57,28,2,𓌳𓐰𓁹,U+13333 U+13430 U+13079,1722.0,834.0,164.0,133.0,no corpus count
2,62,29,0,𓊪𓐰𓏏,U+132AA U+13430 U+133CF,1506.0,155.0,107.0,117.0,no corpus count
2,64,29,15,𓌳𓐰𓁹,U+13333 U+13430 U+13079,1520.0,374.0,192.0,143.0,no corpus count
2,73,29,9,𓂝𓐰𓎡,U+1309D U+13430 U+133A1,1551.0,961.0,188.0,146.0,no corpus count
2,82,30,3,𓌳𓐰𓁹,U+13333 U+13430 U+13079,1379.0,471.0,176.0,152.0,no corpus count
2,89,31,13,𓃱,U+130F1,1202.0,166.0,118.0,109.0,no corpus count
2,100,31,2,𓏏𓐰𓂻,U+133CF U+13430 U+130BB,1260.0,938.0,147.0,136.0,no corpus count
2,101,31,9,𓈖𓐰𓈙,U+13216 U+13430 U+13219,1246.0,1079.0,130.0,114.0,no corpus count
2,107,32,12,𓆣𓐰𓂋,U+131A3 U+13430 U+1308B,1078.0,527.0,111.0,187.0,no corpus count
2,121,33,8,𓇆,U+131C6,897.0,514.0,109.0,169.0,no corpus count
2,122,33,9,𓅨𓐰𓂋,U+13168 U+13430 U+1308B,881.0,681.0,148.0,169.0,no corpus count
2,136,34,4,𓄿𓐰𓏏,U+1313F U+13430 U+133CF,752.0,655.0,108.0,193.0,no corpus count
2,160,36,13,𓈖𓐰𓏏,U+13216 U+13430 U+133CF,387.0,410.0,110.0,106.0,no corpus count
3,6,37,1,𓂝𓐰𓈖,U+1309D U+13430 U+13216,2366.0,869.0,127.0,120.0,no corpus count
3,8,37,9,𓊪𓐰𓏏,U+132AA U+13430 U+133CF,2377.0,1059.0,78.0,145.0,no corpus count
3,13,38,10,𓈖𓐰𓏏,U+13216 U+13430 U+133CF,2130.0,385.0,93.0,106.0,no corpus count
3,21,38,2,𓊪𓐰𓊗,U+132AA U+13430 U+13297,2197.0,1059.0,144.0,124.0,no corpus count
3,29,39,0,𓂝𓐰𓈖,U+1309D U+13430 U+13216,1979.0,644.0,128.0,90.0,no corpus count
3,47,40,5,𓇆,U+131C6,1853.0,1151.0,109.0,161.0,no corpus count
3,48,41,12,𓅨𓐰𓂋,U+13168 U+13430 U+1308B,1603.0,216.0,132.0,181.0,no corpus count
3,55,41,15,𓅱𓐰𓇳,U+13171 U+13430 U+131F3,1672.0,805.0,114.0,160.0,no corpus count
3,66,42,9,𓀀𓐰𓅓,U+13000 U+13430 U+13153,1446.0,324.0,158.0,211.0,no corpus count
3,75,42,12,𓇥𓐰𓂋,U+131E5 U+13430 U+1308B,1502.0,1002.0,124.0,126.0,no corpus count
3,79,43,9,𓀀𓐰𓅓,U+13000 U+13430 U+13153,1309.0,329.0,130.0,250.0,no corpus count
3,99,44,6,𓂝𓐰𓈖,U+1309D U+13430 U+13216,1175.0,896.0,130.0,113.0,no corpus count
3,108,45,8,𓂝𓐰𓈖,U+1309D U+13430 U+13216,1012.0,537.0,134.0,112.0,no corpus count
3,121,46,10,𓂋𓐰𓐍,U+1308B U+13430 U+1340D,863.0,497.0,125.0,117.0,no corpus count
3,123,46,5,𓂝𓐰𓏏,U+1309D U+13430 U+133CF,884.0,712.0,115.0,105.0,no corpus count
3,124,46,6,𓀀𓐰𓅓,U+13000 U+13430 U+13153,883.0,814.0,131.0,278.0,no corpus count
3,141,48,20,𓂋𓐰𓏏,U+1308B U+13430 U+133CF,528.0,260.0,120.0,91.0,no corpus count
3,151,48,13,𓏫,U+133EB,564.0,867.0,38.0,92.0,no corpus count
3,171,49,1,𓅱𓐰𓏏,U+13171 U+13430 U+133CF,397.0,1064.0,111.0,170.0,no corpus count
3,175,50,8,𓊪𓐰𓏏,U+132AA U+13430 U+133CF,244.0,371.0,95.0,138.0,no corpus count
4,11,51,5,𓂜𓐰𓈖,U+1309C U+13430 U+13216,2373.0,947.0,125.0,119.0,no corpus count
4,12,51,2,𓈖𓐰𓏏𓐰𓏏,U+13216 U+13430 U+133CF U+13430 U+133CF,2390.0,1069.0,108.0,125.0,no corpus count
4,13,52,6,𓂜𓐰𓈖,U+1309C U+13430 U+13216,2208.0,192.0,111.0,95.0,no corpus count
4,24,52,4,𓂝𓐰𓈖,U+1309D U+13430 U+13216,2257.0,1046.0,103.0,127.0,no corpus count
4,34,53,7,𓂝𓐰𓈖,U+1309D U+13430 U+13216,2085.0,826.0,125.0,98.0,no corpus count
4,35,53,5,𓀀𓐰𓂋,U+13000 U+13430 U+1308B,2097.0,925.0,121.0,159.0,no corpus count
4,40,54,14,𓅨𓐰𓂋,U+13168 U+13430 U+1308B,1904.0,214.0,131.0,165.0,no corpus count
4,49,54,10,𓂧𓐰𓏏,U+130A7 U+13430 U+133CF,1928.0,800.0,123.0,87.0,no corpus count
